galaxy,stage8_class,n_points,delta_aic_tvc_minus_baryonic_fit,delta_aic_tvc_minus_nfw_like,delta_aic_tvc_minus_rar_like,broad_free_dAIC_tvc_minus_baryonic_fit,broad_free_dAIC_tvc_minus_nfw_like,broad_free_dAIC_tvc_minus_rar_like,broad_free_tvc_boundary,broad_free_tvc_core_boundary,broad_free_tvc_nuisance_boundary,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,best_n,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_10_of_best,dcrra2_taxonomy_class,dcrra2_confidence,dcrra2_rationale,dcrra3_recommended_class,dcrra3_class_stability,pathology_guard,nuisance_guard,rrf_beats_baryonic_guard,rrf_beats_rar_guard,rrf_competes_nfw_guard,nfw_dominant_guard,rar_dominant_guard,central_best_n_guard,scale_band_guard
NGC0891,ROBUST-DIAGNOSTIC-CANDIDATE,18,-1252.9684387985612,-7.924308284086909,-104.25575823002822,-1252.9684387985612,-7.924308284086909,-104.25575823002822,0,0,0,0.2569285870056897,0.7310455505677906,216.0,234.0,0.0066657972355341,0.971278594393004,8.0,42.97637879906492,0,0,21,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",UNRESOLVED_OR_WEAK,STABLE,0,0,1,1,1,0,0,0,1
NGC1003,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,36,-8675.803159636136,83.15446721790548,-0.7853814960119223,-8675.803159636136,83.15446721790548,-0.7853814960119223,0,0,0,0.4097535546942801,0.8558053835801376,112.0,115.0,0.3465203095997785,0.153368853635204,0.75,234.212930732452,0,0,2,HALO_DOMINANT_LIKE,MEDIUM,NFW-like comparator substantially outperforms representative RRF; parent_stage8=BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,HALO_DOMINANT_LIKE,STABLE,0,0,1,0,0,1,0,0,1
NGC1090,WEAK-OR-REGIME-DEPENDENT-SIGNAL,24,-1156.2407944498095,16.953800341827304,-100.70580296922572,-1156.2407944498095,16.953800341827304,-100.70580296922572,0,0,0,0.4581816588882336,0.5967506591893686,162.0,176.0,0.0529771945254427,0.5813232205456487,2.25,3.4504335226829,0,1,28,HALO_DOMINANT_LIKE,MEDIUM,NFW-like comparator substantially outperforms representative RRF; parent_stage8=WEAK-OR-REGIME-DEPENDENT-SIGNAL,HALO_DOMINANT_LIKE,STABLE,0,0,1,1,0,1,0,1,1
NGC1705,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,14,-453.0808221252988,0.336819155889664,1.4227247979103108,-453.0808221252988,0.336819155889664,1.4227247979103108,1,0,1,0.2699652734891807,0.7585732608356638,71.5,73.2,0.2206113878290372,0.1191345493667172,1.25,3.0359257756946603,0,1,41,NUISANCE_SENSITIVE,MEDIUM,nuisance-sensitive parent class or nuisance boundary; parent_stage8=NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,NUISANCE_SENSITIVE,STABLE,0,1,1,0,1,0,0,1,1
NGC2366,ROBUST-DIAGNOSTIC-CANDIDATE,26,-978.0208788797082,-60.47897325308805,-188.1753059229772,-978.0208788797082,-60.47897325308805,-188.1753059229772,0,0,0,0.332707052816288,0.7937583070945281,50.0,53.7,0.5746768881382994,0.3613232799999999,3.25,0.019040711869426,1,1,12,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
NGC2403,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,73,-59721.55425667406,124.71497198527447,-423.8614213681684,-59721.55425667406,124.71497198527447,-423.8614213681684,0,0,0,0.255626880640402,0.6734263262514253,134.0,136.0,0.0372272421295695,0.2607046781020271,1.0,1888.8188068935087,0,0,1,HALO_DOMINANT_LIKE,MEDIUM,NFW-like comparator substantially outperforms representative RRF; parent_stage8=BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,HALO_DOMINANT_LIKE,STABLE,0,0,1,1,0,1,0,1,1
NGC2683,ROBUST-DIAGNOSTIC-CANDIDATE,11,-117.3029961750512,-0.3289693086010885,-12.870286113773432,-117.3029961750512,-0.3289693086010885,-12.870286113773432,0,0,0,0.1734499851093886,0.6746402105930327,155.0,212.0,0.0238521332796055,0.4750915046826222,3.258993,0.0,1,1,41,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
NGC2841,ROBUST-DIAGNOSTIC-CANDIDATE,50,-8501.352261445883,5.4936443422820105,-17.88185729762357,-8501.352261445883,5.4936443422820105,-17.88185729762357,0,0,0,0.0308633511474263,0.8143661429406062,282.0,323.0,0.0407041214738189,0.2486075675267843,2.5,2.244364582263202,0,1,16,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,1,0
NGC2903,WEAK-OR-REGIME-DEPENDENT-SIGNAL,34,-6651.725752615665,72.60862160832198,-167.33797184104805,-6651.725752615665,72.60862160832198,-167.33797184104805,0,0,0,0.2019274578334512,0.7373296595394772,182.0,216.0,0.0166780161063213,0.5436566386909794,3.258993,0.0,1,1,7,HALO_DOMINANT_LIKE,MEDIUM,NFW-like comparator substantially outperforms representative RRF; parent_stage8=WEAK-OR-REGIME-DEPENDENT-SIGNAL,HALO_DOMINANT_LIKE,STABLE,0,0,1,1,0,1,0,1,1
NGC2915,ROBUST-DIAGNOSTIC-CANDIDATE,30,-1143.95130855183,-11.94079563311588,-77.31404019901808,-1143.95130855183,-11.94079563311588,-77.31404019901808,0,0,0,0.1536465753194603,0.9418666509924714,83.45936136827312,86.5,0.3112271069925207,0.0981231978051716,5.5,2.6769633130868726,0,1,34,MIXED_COMPETITIVE,MEDIUM,continuum-family fit is competitive but comparator dominance is not clean; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,0,1
