galaxy,dcrra4_triangle_class,proxy_centroid_predicted_class,correct,nearest_centroid_margin
UGC06787,NUISANCE_SENSITIVE,NFW_TRIANGLE_DOMINANT,0,0.42283312985900956
UGC06818,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,UNRESOLVED_TRIANGULAR,0,0.8326082111945978
UGC06917,THREE_WAY_COMPETITIVE,THREE_WAY_COMPETITIVE,1,0.3662278180994689
UGC06930,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,1,0.13495633300469523
UGC06973,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.0918221209537986
UGC06983,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.33130626211133674
UGC07089,THREE_WAY_COMPETITIVE,UNRESOLVED_TRIANGULAR,0,0.34383565489739265
UGC07125,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NUISANCE_SENSITIVE,0,0.539867321317439
UGC07151,SN_RRF_FAMILY_TRIANGLE_DOMINANT,THREE_WAY_COMPETITIVE,0,0.010336033922839771
UGC07323,THREE_WAY_COMPETITIVE,THREE_WAY_COMPETITIVE,1,0.1624946179868476
UGC07399,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.9065419376302268
UGC07524,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,0.4011515916222099
UGC07577,PATHOLOGY_ARCHIVE,PATHOLOGY_ARCHIVE,1,357.40667153725735
UGC07603,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,0.6380103728710798
UGC07608,THREE_WAY_COMPETITIVE,NUISANCE_SENSITIVE,0,1.266437765578806
UGC08286,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.4017013800821472
UGC08490,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,1.4620471534973811
UGC08550,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.344481077844891
UGC08699,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.733877669280754
UGC08837,SN_RRF_FAMILY_TRIANGLE_DOMINANT,UNRESOLVED_TRIANGULAR,0,0.6678877388025866
UGC09037,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,1,0.5462524052295934
UGC09133,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.5993431759860037
UGC11455,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,1.0342843581402277
UGC11557,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.2312945322732336
UGC11820,NUISANCE_SENSITIVE,THREE_WAY_COMPETITIVE,0,0.24481695862086594
UGC11914,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.15788669158976631
UGC12506,NFW_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,1,0.16393473724798335
UGC12632,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.35173006182629796
UGC12732,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.3329595342798108
UGCA442,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.5771089605639732
UGCA444,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.407205846851154
