galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO
UGC02455,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,HIGH,0.4,NUISANCE_GRADIENT,True,0.0,0.8986074525610065,0.8485707792697375,0.8395881839727504,0.7792509001431724,0.9245457692507975,0.8785904347827295,0.31842196444182935,0.3891390763342365,0.4005144392244179,0.46983944050795456,0.27468933497535514,0.3484387538969665
UGC02455,PATHOLOGY_ARCHIVE_ZONE,PATHOLOGY_OUTLIER,LOW,0.1,PATHOLOGY_OUTLIER,True,0.0,0.9981129900117717,0.9954118545980158,0.992997271863532,0.9728490769688876,0.03592915999204105,0.9999969282035416,-0.043439728224615774,0.06773585019754436,0.08368230479897185,0.16477537143369655,0.9818710913393667,0.0017526541183746408
UGC02455,PATHOLOGY_ARCHIVE_ZONE,PATHOLOGY_OUTLIER,MEDIUM,0.25,PATHOLOGY_OUTLIER,True,0.0,0.9688426327883248,0.9968682388289167,0.998590188704251,0.9966625280285997,0.200846703097996,0.9836196733894284,-0.17651449575509442,-0.05596214051556046,-0.03754745391832982,0.057770857457720474,0.8939537442742795,-0.12798565001816228
UGC02455,PATHOLOGY_ARCHIVE_ZONE,PATHOLOGY_OUTLIER,HIGH,0.4,PATHOLOGY_OUTLIER,True,0.0,0.9787884602731031,0.9997108978208438,0.9999896865718352,0.9890654126715869,0.4394951773027489,0.9912201397543393,-0.14564181997934864,-0.017003005003713188,0.0032114526564807695,0.10456857715591802,0.7486687002254409,-0.09370090845696541
UGC02455,PATHOLOGY_ARCHIVE_ZONE,MIXED_RESPONSE_HALO,LOW,0.1,RAR_LIKE,False,0.0,0.0804151667609306,0.04509037679666747,0.04425541666497202,0.06392996539533584,0.9916051770627572,0.05926787379578665,0.9589498596063661,0.9771947723986923,0.9776219020332082,0.9675071238004731,0.09162326635327385,0.9699134632554666
UGC02455,PATHOLOGY_ARCHIVE_ZONE,MIXED_RESPONSE_HALO,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.22263632327713734,0.17817553362518976,0.1746233458856169,0.15277298476150225,0.9956774163366673,0.19886412564185296,0.8816822992001502,0.9065453471144235,0.9085024238351727,0.9204493550644153,0.06574635855568788,0.895061938838954
UGC02455,PATHOLOGY_ARCHIVE_ZONE,MIXED_RESPONSE_HALO,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.8544737096442689,0.801769229826827,0.7938682783755509,0.7274782164708931,0.9116274399553346,0.8328121229264789,0.3814790824615825,0.44523114241163886,0.45401731423421415,0.5220361898653262,0.29727522608630774,0.4088861419435992
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,LOW,0.1,RESPONSE_FAMILY_LIKE,True,0.0,0.022595632432673776,0.057882282914167735,0.06846834762674443,0.13266483488698277,0.9975858539523152,0.029931204262431337,0.9886376320813034,0.9706274862612497,0.9651588741617911,0.9313083083023674,-0.0491339602279795,0.9849207053045278
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,MEDIUM,0.25,RESPONSE_FAMILY_LIKE,True,0.0,0.1448756169809513,0.1908058263283373,0.20229172285964042,0.25423081010334936,0.9897972535592292,0.15754377387842483,0.9247293566330899,0.8995522073074264,0.8931451601729473,0.8635792898724763,-0.1010086453763778,0.9178541420735515
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,HIGH,0.4,RESPONSE_FAMILY_LIKE,True,0.0,0.32391437764027897,0.3810588345286553,0.3933800558454121,0.4480592815351095,0.9787812313714119,0.34264361666524823,0.8222442595480501,0.7867281394937803,0.7788581027084381,0.7429271286370492,-0.14566663526212265,0.8107751743453618
