galaxy,zone,best_comparator,within_2_count,within_10_count,within_2_comparators,within_10_comparators,overflex_within_2,overflex_winner
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,2,5,EINASTO_LIKE_SURROGATE_DIAGNOSTIC|OVERFLEX_POLY5_NULL,EINASTO_LIKE_SURROGATE_DIAGNOSTIC|OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|SN_RRF_SATURATING_FAMILY|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,True,False
UGC05750,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC05764,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,5,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,True
UGC05829,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC05918,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,3,5,OVERFLEX_POLY5_NULL|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY,OVERFLEX_POLY5_NULL|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,True,True
UGC05986,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06399,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,3,5,OVERFLEX_POLY5_NULL|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY,OVERFLEX_POLY5_NULL|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,True,True
UGC06446,NUISANCE_SENSITIVE_ZONE,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,2,4,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|OVERFLEX_POLY5_NULL,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|NFW_LIKE_DIAGNOSTIC,True,False
UGC06614,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06667,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,3,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,True
UGC06786,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
