galaxy,zone,rotmod_points,Rlast_kpc,winning_comparator,winning_comparator_family,winning_aic,params_json,rss
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,30,29.23,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.393588140855094,"{""coef"": [-0.9479125647085471, 4.589137195616501, -7.427702599853675, 5.38900005222848, -1.0627656484940589, -0.2268346539842987], ""degree"": 5}",0.4491369731652399
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,47,27.06,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,35.30952037414191,"{""coef"": [-0.581969806914124, 0.809255892445587, 18.123355056242218, -59.03422645235255, 70.10180063276145, -28.747108994899598], ""degree"": 5}",0.9489101784175796
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,25,6.69,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-60.26098004140414,"{""coef"": [-0.014993915977394854, 0.5680830578010243, -0.9705367936825161, -0.7979817297939249, 7.489951477332047, -5.660289407108227], ""degree"": 5}",0.017108423915486445
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,5.52,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-24.39334117709609,"{""coef"": [0.18496073552755746, -6.54125760861232, 55.48630921672044, -161.4352797231224, 185.02734059430819, -73.03699235467896], ""degree"": 5}",0.12027702324823117
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,5.59,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-20.909452640235884,"{""coef"": [-0.08081459560860091, 0.6672195852280988, 14.206041790773574, -47.152790053859604, 53.712028235176014, -20.719095022016948], ""degree"": 5}",0.0005125571480662683
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,1.21,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.142718025572655,"{""coef"": [0.3400579115707703, -7.724974842863185, 49.581440970996795, -115.34216619877682, 116.8789753683794, -43.089378489528094], ""degree"": 5}",0.0036040765828976476
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,9,8.18,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-11.692268252330145,"{""coef"": [-0.39647709775000795, 4.280765600465534, -12.018897633158534, 20.627674896109603, -17.259008450653212, 5.37446053916756], ""degree"": 5}",0.0025083829257426266
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,28.61,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-64.18954637986141,"{""coef"": [0.001598664104893286, -0.4270977557772702, 7.57602728190872, -11.783571446159677, 6.471810981033243, -1.0754540323021031], ""degree"": 5}",0.00010854506523562364
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,73,53.29,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-30.238022188235952,"{""coef"": [-0.3459799247956883, -1.561063560820056, 29.34360248445711, -80.67558865669616, 84.18822246008156, -30.468855050720883], ""degree"": 5}",1.014410519868728
UGC05716,NUISANCE_SENSITIVE_ZONE,12,12.37,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-35.49778450046934,"{""coef"": [0.045079018885985624, 2.155813892198889, -6.849561618181096, 20.502048120727245, -26.904952215931843, 11.879235413501338], ""degree"": 5}",0.0005773971015173682
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,23,6.74,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-23.096196566461387,"{""amplitude"": 0.7463975758303695, ""extra"": 1.4, ""scale"": 0.075}",0.04701506227740538
UGC05750,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,22.85,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-45.87625269882349,"{""coef"": [0.02501184462335824, -2.307778301525204, 33.728586844876524, -115.05676480519898, 162.40273872640614, -78.12453405526438], ""degree"": 5}",0.000800207821597129
UGC05764,NUISANCE_SENSITIVE_ZONE,10,3.62,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-2.098219452206024,"{""coef"": [0.025049753835929455, 0.5748093137663768, 5.726612368601883, -10.664104619567837, 5.517336003817653, -0.5641950656776467], ""degree"": 5}",0.00891765829069011
UGC05829,NUISANCE_SENSITIVE_ZONE,11,6.91,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.98174271770051,"{""coef"": [-0.10519740529357895, 1.935624213598146, -5.0233825698531485, 8.418878705998267, -6.7201374424205085, 2.1538196757396078], ""degree"": 5}",0.001056199171531245
UGC05918,NUISANCE_SENSITIVE_ZONE,8,4.46,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-24.927463771170487,"{""coef"": [-0.25494499571543633, 3.8608773839077806, -8.81080781942984, 12.324541251798436, -9.286674530685303, 2.89599475130486], ""degree"": 5}",0.0015648010422431758
UGC05986,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.41,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-31.637142731767717,"{""coef"": [-0.0054268090598708265, -0.5343255788721232, 8.672969426790495, -15.96423893387651, 11.788342561821802, -3.33859502869649], ""degree"": 5}",0.00249348933454228
UGC06399,MIXED_THREE_WAY_COMPETITIVE_ZONE,9,7.85,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-24.27691666357873,"{""coef"": [-0.13361076456846904, 1.8183767658349432, -4.899994302362077, 13.977041895683707, -17.412834274933847, 7.348465450253878], ""degree"": 5}",0.0012277172985211162
UGC06446,NUISANCE_SENSITIVE_ZONE,17,10.22,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-27.302952025743867,"{""amplitude"": 0.759981909878012, ""scale"": 0.1}",0.025111168681399263
UGC06614,MIXED_THREE_WAY_COMPETITIVE_ZONE,13,64.59,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-20.293367454538952,"{""coef"": [-1.002276624384748, 10.754300735791693, -53.051102804081, 136.95877526507383, -155.81273953446953, 62.854205887494736], ""degree"": 5}",0.030922450096631946
UGC06667,NUISANCE_SENSITIVE_ZONE,9,7.85,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.629657753305125,"{""coef"": [-0.0910143634103842, 1.8475485852860098, -2.65989438366692, 8.776517154514416, -12.836949392671475, 5.805337842139561], ""degree"": 5}",0.0011461926796014744
UGC06786,NUISANCE_SENSITIVE_ZONE,45,34.05,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,1.9784248075171504,"{""coef"": [-0.22245415608448774, 2.292675126822978, -2.487281122036572, 5.413206963491957, -8.529151681669065, 4.208221266779106], ""degree"": 5}",0.29989278286990323
UGC06787,NUISANCE_SENSITIVE_ZONE,71,37.19,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,44.40464172614913,"{""coef"": [-0.6680763722753188, 6.004845556838596, -12.811025384178599, 10.812294467512192, 0.28386719512237235, -2.976491362573792], ""degree"": 5}",0.6933735514182194
UGC06818,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,6.98,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-6.807403613634598,"{""coef"": [-0.24676942743695915, 4.777297106474535, -35.88091729377943, 99.76590367569155, -109.1296178359229, 41.405238562575285], ""degree"": 5}",0.006682823669641402
UGC06917,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,10.47,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-43.16937654941654,"{""coef"": [0.40848011543696594, -7.019220119392888, 40.859245489934324, -87.69173498188115, 82.37218214155997, -28.330236657149698], ""degree"": 5}",0.0003281802398101199
UGC06930,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,10,16.61,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-44.786339035995724,"{""coef"": [-0.7318658672356064, 10.563909752012936, -39.1546496986396, 70.71591898303602, -60.713449053400744, 19.949987763613624], ""degree"": 5}",0.0005858004675715678
UGC06973,PATHOLOGY_ARCHIVE_ZONE,9,7.85,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-8.248763455440592,"{""coef"": [-9.193954475050123, 48.185377566494594, -126.22239632339834, 180.60788554496446, -131.4367331892216, 38.083201785953634], ""degree"": 5}",0.002716822480087852
UGC06983,NUISANCE_SENSITIVE_ZONE,17,15.68,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-35.22255800019034,"{""coef"": [-1.2044231416769196, 17.18845423638515, -70.94925760909398, 143.4343519216116, -136.63880643960084, 48.903312676454355], ""degree"": 5}",0.012056951258625694
UGC07089,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,9.16,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-25.88496899536151,"{""coef"": [-0.10630818565865062, 2.392600725055117, -15.904472076764751, 43.40461771439473, -47.79620051824263, 18.592356752989733], ""degree"": 5}",0.006598072025311381
UGC07125,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,13,18.68,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-18.89853715089127,"{""coef"": [-0.05534349567974244, -0.14199071516189887, 5.998902968383647, -9.38744705925893, 2.5757407923139484, 1.5588245736207142], ""degree"": 5}",0.005128956181398752
UGC07151,RESPONSE_FAMILY_DOMINANT_ZONE,11,5.5,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-5.563523242944889,"{""amplitude"": 0.44581914820485075, ""scale"": 0.2}",0.011908061167506012
UGC07323,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,5.82,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.577431100694497,"{""coef"": [-0.05682398551212467, 1.4650406024704725, -10.492302618561489, 28.943724123415706, -31.172857625442735, 11.693457198925605], ""degree"": 5}",0.0012937908551176186
UGC07399,NUISANCE_SENSITIVE_ZONE,10,6.13,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.623147753967167,"{""coef"": [-0.13906392721599953, 2.4827217641888097, 0.6748483969496833, -11.760972606566924, 16.38720596505603, -6.79309862071807], ""degree"": 5}",0.0009759978278446563
UGC07524,RESPONSE_FAMILY_DOMINANT_ZONE,31,10.69,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-61.56160766403042,"{""coef"": [0.010059409867871945, -0.08735799471815053, 6.603561745221262, -14.078285805547674, 11.62631649441792, -3.5332350596003788], ""degree"": 5}",0.013516836868671205
UGC07577,PATHOLOGY_ARCHIVE_ZONE,9,1.69,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-39.019835724595175,"{""coef"": [-0.13043891468442964, 2.659597494048722, -15.123619910876133, 30.884491560292165, -28.286002593128174, 10.287561416897095], ""degree"": 5}",0.0010985410987617648
UGC07603,RESPONSE_FAMILY_DOMINANT_ZONE,12,4.11,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-33.349061303337386,"{""coef"": [0.15516341800416142, -3.7949087273230004, 27.062264906773983, -56.47754843446522, 49.97201165386544, -16.0948308047585], ""degree"": 5}",0.001587840959605394
UGC07608,MIXED_THREE_WAY_COMPETITIVE_ZONE,8,4.78,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-30.232258907592012,"{""coef"": [0.14293713569921282, -3.176670578549973, 23.41719975975775, -53.28696147613794, 52.92922714120916, -19.204752379767854], ""degree"": 5}",0.0008931265201933944
UGC08286,NUISANCE_SENSITIVE_ZONE,17,8.04,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-20.574442136949138,"{""coef"": [-0.3282987049012122, 7.036504190802136, -23.19867825438314, 38.63756876252331, -30.314568393798112, 8.95819052351086], ""degree"": 5}",0.006258162265306485
UGC08490,RESPONSE_FAMILY_DOMINANT_ZONE,30,10.15,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-58.76994892669903,"{""coef"": [-0.04712689678057428, 4.081879200408457, -8.760616726608323, 10.555479089315753, -6.788126323491186, 1.7286255702652662], ""degree"": 5}",0.015214112180705256
UGC08550,NUISANCE_SENSITIVE_ZONE,11,5.36,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-27.356246153294244,"{""coef"": [-0.42490257719710467, 8.1702414153978, -32.16616005375162, 63.121279273556794, -56.58285543791047, 18.65227311232923], ""degree"": 5}",0.0014903818755859861
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,41,25.7,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-16.637489735973542,"{""coef"": [-0.747836319585439, 8.538842818292748, -32.360405503690416, 61.34692739430315, -54.11924792761805, 17.920740529507114], ""degree"": 5}",0.5932005765670963
UGC08837,RESPONSE_FAMILY_DOMINANT_ZONE,8,4.2,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-19.169924609066197,"{""coef"": [-0.02670456877991538, -0.22686462295748117, 3.1206769379935317, -12.436794635498602, 20.30587131936021, -10.25835980406306], ""degree"": 5}",0.0019972916244316314
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,27.96,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-25.655294569840983,"{""coef"": [-0.9876145915869052, 6.627690502288366, -31.341567867936337, 75.12465031231204, -77.25474984475863, 28.117793157621662], ""degree"": 5}",0.019884349058465863
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,68,108.31,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,21.87535978585818,"{""coef"": [-0.6120324548162612, 6.56508861551093, -19.947518447411696, 33.76748152078942, -29.706538771843647, 10.39900305588518], ""degree"": 5}",1.6249247293287479
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,36,41.93,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,27.005245210812596,"{""coef"": [-0.013361467970442463, -1.7833955858727881, 1.135242318944485, 9.397541098146412, -14.661536034175445, 6.27820810009464], ""degree"": 5}",0.14550132791698353
UGC11557,PATHOLOGY_ARCHIVE_ZONE,12,10.56,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-9.74506089178869,"{""coef"": [0.047871330341399974, -4.152384713022265, 11.466603411009189, -10.682104025629064, -0.2213923172756742, 3.5128090718239493], ""degree"": 5}",0.033315212856192336
UGC11820,NUISANCE_SENSITIVE_ZONE,10,15.82,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.991412836491676,"{""coef"": [-0.05167375495636878, 3.7554796369093446, -15.173082245283904, 31.675617082963043, -29.472125938887768, 10.050188547945877], ""degree"": 5}",0.004616209455824509
UGC11914,PATHOLOGY_ARCHIVE_ZONE,65,9.83,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-156.70492312134127,"{""coef"": [-0.15813849000884223, 2.019471906963816, -13.735670966242918, 32.64191006498506, -32.10769595599394, 11.636352440980598], ""degree"": 5}",0.0323184908059811
UGC12506,HALO_COMPARATOR_DOMINANT_ZONE,31,49.99,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-65.70505482154631,"{""coef"": [0.14307400158757247, 3.3243093053689443, -17.29101862608699, 42.76172909411723, -46.04019516906957, 17.590968089264578], ""degree"": 5}",0.02104853821103095
UGC12632,NUISANCE_SENSITIVE_ZONE,15,10.66,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-40.53594939665712,"{""coef"": [0.04173080469437699, -0.4394592227561369, 13.636517141999827, -36.86378514930233, 38.54492997032585, -14.245543514812057], ""degree"": 5}",0.0019492264101593985
UGC12732,NUISANCE_SENSITIVE_ZONE,16,15.4,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-49.98481441377379,"{""coef"": [-0.03167655296127547, 1.8761513554615785, -2.3141094737600163, 1.637821755276203, -0.9872218390164962, 0.5758182574518667], ""degree"": 5}",0.0011001835252404356
UGCA442,NUISANCE_SENSITIVE_ZONE,8,6.33,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.64288193249019,"{""coef"": [0.024816592841169664, 0.12506613396191757, 3.176734699572436, -1.8139755198663747, -2.2179739563300234, 1.5435548150423701], ""degree"": 5}",0.0009845291755440561
UGCA444,NUISANCE_SENSITIVE_ZONE,36,2.62,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-105.07051884156377,"{""intercept"": -0.011683985663533741, ""slope"": 0.756460914047308}",0.05194482509406657
