galaxy,stage8_class,n_points,rotmod_file,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,best_destructive_null_aic_v2,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,best_neighbor_null_aic_v2,delta_aic_rrf_minus_best_neighbor_null
NGC4100,WEAK-OR-REGIME-DEPENDENT-SIGNAL,24,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4100_rotmod.dat,23.29910034716039,20472.366039367862,3.150717766701765,shuffled_radius_rrf_nfixed,56.653443923163664,-33.354343576003274,saturating_n4,24.152237490385748,-0.8531371432253572
NGC4157,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,17,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4157_rotmod.dat,14.628126941844279,22815.641539152202,12.13219040847764,shuffled_radius_rrf_nfixed,91.27137376133363,-76.64324681948935,saturating_n2,9.994711829278115,4.633415112566164
NGC4183,ROBUST-DIAGNOSTIC-CANDIDATE,23,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4183_rotmod.dat,13.444592010561784,8529.522119321326,2.6356157860499865,shuffled_radius_rrf_nfixed,97.04491952945912,-83.60032751889733,arctan_saturating,6.911293509608386,6.533298500953398
NGC4214,WEAK-OR-REGIME-DEPENDENT-SIGNAL,14,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4214_rotmod.dat,23.005263738770417,5317.460921651449,1.0660893066475543,shuffled_radius_rrf_nfixed,26.55013204256592,-3.5448683037955036,saturating_n1,9.731321209797276,13.27394252897314
NGC4217,ROBUST-DIAGNOSTIC-CANDIDATE,19,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4217_rotmod.dat,1054.412555713761,30258.24142669095,14.758539936289798,outer_step_median,1028.6320435012499,25.780512212511212,saturating_n8,1025.348836182175,29.063719531586003
NGC4559,ROBUST-DIAGNOSTIC-CANDIDATE,32,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4559_rotmod.dat,21.665410289938052,10039.115791255546,5.977438409965855,shuffled_radius_rrf_nfixed,227.89982888685103,-206.23441859691297,saturating_n2,12.709215138420781,8.95619515151727
NGC5005,WEAK-OR-REGIME-DEPENDENT-SIGNAL,18,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC5005_rotmod.dat,10.431741710904125,31442.465801631577,6.574611810185444,outer_step_median,11.29170605294673,-0.8599643420426037,saturating_n4,10.358651215955476,0.07309049494864972
NGC5033,WEAK-OR-REGIME-DEPENDENT-SIGNAL,22,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC5033_rotmod.dat,93.09582072882228,31363.32047813595,6.816820843949647,shuffled_radius_rrf_nfixed,274.43128938151193,-181.33546865268966,saturating_n4,91.30966293763333,1.7861577911889412
NGC5055,ROBUST-DIAGNOSTIC-CANDIDATE,28,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC5055_rotmod.dat,63.36255160932505,22581.531746653745,11.81597718984074,outer_step_median,1942.3668196677202,-1879.0042680583952,saturating_n4,58.39427651505371,4.968275094271341
NGC5371,CORE-PATHOLOGY-ARCHIVE,19,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC5371_rotmod.dat,85.33955083793701,16036.317683215531,0.48333333333333334,shuffled_radius_rrf_nfixed,79.05887503794037,6.280675799996644,saturating_n8,85.20960720244048,0.12994363549653087
