proxy,split,threshold,outcome,n_low,n_high,low_rate,high_rate,high_minus_low_rate,abs_rate_difference,permutation_p_two_sided,strong_association_flag
median_err_fraction,median,0.0442729492729492,phase5_overflex_winner_flag,72,71,0.875,0.8450704225352113,-0.029929577464788748,0.029929577464788748,0.6383616383616384,False
gas_fraction_proxy,median,0.0826615559827784,poly_aicc_high_flex_flag,72,71,0.9166666666666666,0.8873239436619719,-0.02934272300469476,0.02934272300469476,0.5994005994005994,False
roughness_rms_diff,median,0.030937135202683,poly_aicc_high_flex_flag,72,71,0.9166666666666666,0.8873239436619719,-0.02934272300469476,0.02934272300469476,0.5644355644355644,False
outer_baryon_fraction_proxy,median,0.365938415666359,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7692307692307693,False
v_outer_kms,median,110.5011312159292,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7682317682317682,False
v_max_kms,median,114.0,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7902097902097902,False
kernel_curve_corr,median,0.9587852727474336,poly_aicc_high_flex_flag,72,71,0.8888888888888888,0.9154929577464789,0.026604068857590035,0.026604068857590035,0.7522477522477522,False
gas_fraction_proxy,median,0.0826615559827784,snrrf_existing_aicc_winner_flag,72,71,0.125,0.09859154929577464,-0.02640845070422536,0.02640845070422536,0.7702297702297702,False
outer_baryon_fraction_proxy,median,0.365938415666359,snrrf_existing_aicc_winner_flag,72,71,0.125,0.09859154929577464,-0.02640845070422536,0.02640845070422536,0.8061938061938062,False
v_outer_kms,median,110.5011312159292,phase5_overflex_winner_flag,72,71,0.8472222222222222,0.8732394366197183,0.026017214397496047,0.026017214397496047,0.8321678321678322,False
kernel_curve_corr,median,0.9587852727474336,phase5_overflex_winner_flag,72,71,0.8472222222222222,0.8732394366197183,0.026017214397496047,0.026017214397496047,0.7962037962037962,False
rrf_rc_over_rlast,median,0.3135420143107699,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8561438561438561,False
median_err_fraction,median,0.0442729492729492,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8541458541458542,False
roughness_rms_diff,median,0.030937135202683,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8641358641358642,False
kernel_curve_corr,median,0.9587852727474336,nuisance_or_pathology_zone_flag,72,71,0.3055555555555556,0.28169014084507044,-0.023865414710485144,0.023865414710485144,0.8491508491508492,False
v_max_kms,median,114.0,existing_bic_overflex_flag,72,71,0.6666666666666666,0.6901408450704225,0.023474178403755874,0.023474178403755874,0.8661338661338661,False
