galaxy,zone,n_points,gas_fraction_proxy,outer_baryon_fraction_proxy,v_max_kms,median_err_fraction,roughness_rms_diff,negative_residual_v2_fraction,phase5_overflex_winner_flag,existing_aicc_overflex_flag,poly_aicc_high_flex_flag,nuisance_or_pathology_zone_flag,phase6_failure_boundary_score
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,73,0.0012150963030845,0.5755946822090834,248.0,0.0169523809523809,0.0381209824149934,0.7397260273972602,1,0,1,0,2
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,34,0.0166780161063213,0.5436566386909794,216.0,0.0167142591098143,0.1096235231841354,0.5294117647058824,0,0,1,0,2
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,19,0.0851627896794965,0.4649302854938272,235.0,0.0138888888888888,0.030937135202683,0.0,1,1,1,0,2
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,0.7866455535310898,0.1370599886058146,48.2,0.0135126961276508,0.0275625956884854,0.0,1,1,1,0,2
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,17,0.0215172481039733,0.3122713994490358,383.0,0.0109890109890109,0.0221374791675598,0.0,1,1,1,0,2
NGC6674,PATHOLOGY_ARCHIVE_ZONE,15,0.0695715289980319,0.2957972559934431,291.0,0.0085106382978723,0.0380450228488472,0.0666666666666666,1,0,1,1,2
F583-1,RESPONSE_FAMILY_DOMINANT_ZONE,25,0.0,0.1775511352974292,86.9,0.1036036036036036,0.0347740682127024,0.04,0,0,1,0,1
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,0.1458627926780492,0.2450496768170066,126.0,0.0613166529942575,0.0649118376301413,0.25,0,0,0,0,1
UGC06446,NUISANCE_SENSITIVE_ZONE,17,0.3762498073894136,0.2275787172938239,84.9,0.0610119047619047,0.0302739826193803,0.0,0,0,1,1,1
NGC0055,RESPONSE_FAMILY_DOMINANT_ZONE,21,0.4279721391830404,0.4450151950497351,87.4,0.0558882235528942,0.0221764379799574,0.0476190476190476,1,0,1,0,1
UGC07151,RESPONSE_FAMILY_DOMINANT_ZONE,11,0.1388457210105054,0.5449385865595324,76.2,0.0408134642356241,0.0195214938288278,0.0909090909090909,0,0,1,0,1
UGC07125,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,13,0.3378378378378379,0.5372531493792843,65.6,0.0405198776758409,0.0217344028157996,0.0769230769230769,1,0,0,0,1
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,24,0.0351661641969446,0.5881829535277142,195.0,0.0349697455955604,0.0549017498815241,0.1666666666666666,0,0,1,0,1
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,19,0.0688298654437147,0.4113308781135986,305.0,0.0348432055749128,0.0232959575392764,0.1578947368421052,1,0,1,0,1
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,17,0.0367328159500364,0.5510873674676328,138.0,0.0317073170731707,0.0213595191481516,0.0588235294117647,1,0,0,0,1
NGC2998,RESPONSE_FAMILY_DOMINANT_ZONE,13,0.0221147120633974,0.5599962838061232,214.0,0.0235849056603773,0.028980036716037,0.1538461538461538,1,0,1,0,1
UGC00128,NUISANCE_SENSITIVE_ZONE,22,0.462700483793659,0.1533541982286446,134.0,0.010437445319335,0.0363480614906815,0.0,0,0,1,1,1
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,23,0.251008184583506,0.1633083269354976,82.6,0.0584398976982097,0.0474003676773161,0.0434782608695652,0,0,1,0,0
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,14,0.0550001193570023,0.3306187667489417,99.7,0.0499541232383839,0.0247504760834324,0.0,0,0,1,0,0
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,0.1016601551629533,0.3043383890913558,112.0,0.0369747899159663,0.0267008426568919,0.0,0,0,0,0,0
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,0.6587086856264412,0.2606261547798332,67.5,0.0354790419161676,0.0248486303853925,0.0,0,0,1,0,0
NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,0.0529771945254427,0.5813232205456487,176.0,0.0242879695155144,0.0401718005051865,0.25,0,0,1,0,0
